r,g,b,c_c,c_m,c_y,c_k,c_w,pred_r,pred_g,pred_b,pred_d
0.0,0.3,0.2,3.37045706961e-05,1.69383424341e-09,3.2878477608e-08,0.999966168464,9.23932448743e-08,0.231230525014,0.234744977266,0.239226467429,67.0943308549
0.0,0.3,0.3,0.973759852024,2.5986910377e-13,0.0137439097094,0.0124962382667,3.07123703078e-14,0.0240223857926,0.401495641918,0.306636280552,2.03272075748
0.0,0.3,0.4,0.983939283204,1.10953900665e-11,0.00352273150325,0.0125379847988,4.82320286168e-10,0.0230209277588,0.396963153666,0.404368837204,1.79558940445
0.0,0.3,0.5,0.987596493766,3.0572644681e-16,4.82343006536e-26,0.0124035062335,1.59628724308e-13,0.0146122948024,0.39557253378,0.477071804461,1.70364949758
0.0,0.3,0.6,0.905091159765,0.0863667445148,8.79872123594e-26,0.00854209571981,1.56762643666e-13,0.0141814599475,0.421453697703,0.557618222149,1.42450977419
0.0,0.3,0.7,0.856565728603,0.137790034312,1.84309289548e-18,0.00564423708441,3.3289260437e-15,0.0150366448312,0.452037345283,0.639598224405,1.2186103549
0.0,0.3,0.8,0.827153351664,0.169478912597,4.25336415479e-22,0.00336773573893,1.08105515652e-13,0.0157743335018,0.485300652452,0.719699678923,1.05917022443
0.0,0.3,0.9,0.808043010881,0.190484494863,4.53967412442e-24,0.00147249425552,5.49686328258e-20,0.0164063906227,0.520473797323,0.798382577721,0.927852705375
0.0,0.3,1.0,0.796200523807,0.203799476193,1.36999345703e-30,1.95572884138e-13,5.4595842256e-23,0.0165459791196,0.553153769477,0.867779361572,0.826618324645
0.0,0.4,0.0,2.72440393816e-06,2.03870042091e-08,0.49630852574,0.503688729469,2.60409759364e-15,0.232081551725,0.235483885357,0.238575755827,44.673667758
0.0,0.4,0.1,0.826417677972,3.89703200321e-26,0.163120045085,0.0104622769426,1.31788167336e-16,0.0123257287162,0.444314362172,0.251160353478,5.24491007657
0.0,0.4,0.2,0.888258152866,1.32153978376e-27,0.100495911227,0.0112459359071,4.55585722092e-28,0.0072674563503,0.426627255133,0.257997642661,3.92928748311
